Ingredient,ServingSize_g,Protein_per_g,Carbs_per_g,Fats_per_g,Intake_g,Calories
Name,Serving size(g),Calorie,Calorie/g,Protien/Serving,Protien/Intake,
Chia Seeds,100,486,4.86,17,1.7000000000000002,
Oats,100,363,3.63,13.1,3.93,
Coco Powder,100,409,4.09,19.6,2.94,
Carrot,100,40,0.4,0.9,0.27,
Beans,100,31,0.31,1.8,0.54,
Pumpkin,100,20,0.2,0.7,0.20999999999999996,
Broccoli,100,34,0.34,2.8,0.8399999999999999,
Cauliflower,100,25,0.25,1.9,0.57,
Chicken Breast,100,165,1.65,31,31,
Onion,100,40,0.4,1.1,0.275,
Tomato,100,18,0.18,0.88,0.22,
Egg,100,155,1.55,13,1.3,
Watermelon,100,30,0.3,0.6,0.3,
Pineaplle,100,50,0.5,0.5,0.25,
Pappaya,100,32,0.32,0.6,0.6,
Banana,100,89,0.89,1.1,1.1,
Apple,100,52,0.52,0.3,0.3,
Capcicum,100,40,0.4,2,1,
Sweet Potato,100,86,0.86,1.6,0.8,
Soya Chunks,100,345,3.45,52,26,
Pasta RL,100,333,3.33,23.1,6.930000000000001,
Pasta CP,100,353,3.53,22.4,6.719999999999999,
Whey protien,35,126,3.6,28,28,
Egg White,100,52,0.52,12,6,
Peanut,100,320,3.2,13,6.5,
Toor Dhal,100,355,3.55,19,9.5,
Moong Dhal,100,347,3.47,24,12,
Massor Dhal,100,350,3.5,24,12,
Paneer HP,100,203,2.03,25,25,
Tofu,100,133,1.33,14.5,14.499999999999998,
Besan,100,387,3.87,22,6.6,
Pasta Wheat ,100,345,3.45,12,6,
Soya Chunks,100,332,3.32,54,27,
Curd,100,62,0.62,3.5,1.7500000000000002,
Cheese,100,312,3.12,20,10,
Olive Oil,100,884,8.84,0,0,
Zuchini,100,17,0.17,1.2,0.6,
Cucumber,100,15,0.15,0.7,0.35,
Carrot,100,40,0.4,0.9,0.45000000000000007,
Beans,100,31,0.31,1.8,0.9000000000000001,
Broccoli,100,34,0.34,2.8,1.4,
Onion,100,40,0.4,1.1,0.55,
Tomato,100,18,0.18,0.88,0.22,
Capcicum,100,40,0.4,2,1,
Watermelon,100,30,0.3,0.6,0.3,
Pineaplle,100,50,0.5,0.5,0.25,
Pappaya,100,32,0.32,0.6,0.3,
